ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
KKR,KKR &,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,87.68,$114.78 - $119.47,139.04,111.27,0.0,2026-03-02,29.7,-38.5,117.13,139.04,-25.1,2.06,,,,,,
ALIT,"Alight,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,0.88,$1.89 - $1.96,2.36,1.83,0.0,2026-03-02,17.5,-60.5,1.93,2.36,-54.3,1.46,,,,,,
SCKT,"Socket Mobile,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,0.9,$0.91 - $0.95,1.19,0.88,17.88,2026-03-02,28.0,-32.3,0.93,1.19,-3.2,1.36,,,,,,
ACVA,ACV Auctions,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,4.86,$7.57 - $7.87,8.98,7.33,0.0,2026-03-02,19.0,-45.9,7.72,8.98,-37.0,1.21,,,,,,
SQNS,Sequansmmunications S.A.,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,2.89,$5.27 - $5.49,6.75,5.11,0.0,2026-03-02,28.8,-57.2,5.38,6.75,-46.3,0.52,,,,,,
SVCO,"Silvaco Group,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,3.36,$3.93 - $4.09,4.83,3.81,0.0,2026-03-02,23.2,-32.3,4.01,4.83,-16.2,0.67,,,,,,
MYSZ,"My Size,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.55,$0.74 - $0.77,1.18,0.72,0.0,2026-03-02,26.8,-49.4,0.76,1.18,-27.3,0.68,,,,,,
BLND,"Blend Labs,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,1.68,$2.93 - $3.05,3.34,2.84,0.0,2026-03-02,29.9,-49.7,2.99,3.34,-43.8,0.81,,,,,,
IBM,International Business Machines,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,240.21,$282.53 - $294.06,310.65,273.88,0.0,2026-03-02,23.3,-23.2,288.3,310.65,-16.7,0.89,,,,,,
FWDI,"Forward Industries,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,4.24,$6.41 - $6.67,8.78,6.21,0.0,2026-03-02,28.8,-51.7,6.54,8.78,-35.2,0.62,,,,,,
AMR,"Alpha Metallurgical Resources,",Oversold Bounce,⭐⭐ MUY BUENA,75,162.65,$150.12 - $156.25,181.77,145.53,1.12,2026-03-02,10.8,-34.8,153.19,181.77,6.2,1.99,,,,,,
ASTS,"AST SpaceMobile,",Oversold Bounce,⭐⭐ MUY BUENA,75,79.19,$49.69 - $51.71,108.89,48.17,0.96,2026-03-02,27.8,-35.1,50.7,108.89,56.2,1.72,,,,,,
NWTG,"Newton Golf,",Bull Flag Pullback,⭐⭐ MUY BUENA,75,1.64,$1.61 - $1.67,1.86,1.53,1.97,2026-03-02,,,,,,,35.8,-11.8,1.58,1.58,Bearish,True
NRDY,Nerdy,Oversold Bounce,⭐⭐ MUY BUENA,70,0.96,$0.96 - $1.0,1.27,0.93,8.97,2026-03-02,40.2,-32.0,0.98,1.27,-1.5,3.71,,,,,,
NAVN,"Navan,",Oversold Bounce,⭐⭐ MUY BUENA,70,9.74,$12.64 - $13.16,18.06,12.25,0.0,2026-03-02,40.7,-46.1,12.9,18.06,-24.5,2.31,,,,,,
INTZ,Intrusion,Oversold Bounce,⭐⭐ MUY BUENA,70,1.09,$1.19 - $1.24,1.95,1.15,0.0,2026-03-02,61.0,-29.2,1.21,1.95,-10.3,1.71,,,,,,
SPT,"Sprout Social,",Oversold Bounce,⭐⭐ MUY BUENA,70,6.45,$9.16 - $9.54,11.37,8.88,0.0,2026-03-02,32.2,-44.7,9.35,11.37,-31.0,1.99,,,,,,
LAKE,"Lakeland Industries,",Oversold Bounce,⭐⭐ MUY BUENA,70,9.17,$10.59 - $11.02,15.78,10.26,0.0,2026-03-02,38.0,-41.9,10.81,15.78,-15.1,1.79,,,,,,
IP,International Paper,Bull Flag Pullback,⭐ BUENA,60,43.55,$42.68 - $44.42,48.7,41.14,2.13,2026-03-02,,,,,,,30.9,-10.6,42.41,42.41,Bearish,False
WS,"Worthington Steel,",Bull Flag Pullback,⭐ BUENA,60,41.56,$40.73 - $42.39,48.69,39.04,2.83,2026-03-02,,,,,,,42.7,-14.6,40.25,40.25,Bearish,False
CMC,Commercial Metals,Bull Flag Pullback,⭐ BUENA,60,73.3,$71.83 - $74.77,83.21,73.12,53.63,2026-03-02,,,,,,,31.2,-11.9,75.38,75.38,Bearish,False
SPRU,Spruce Power Holding,Oversold Bounce,MODERADA,55,4.03,$3.24 - $3.38,5.75,3.14,1.94,2026-03-02,26.1,-37.6,3.31,5.75,21.8,0.62,,,,,,
YYAI,AiRWA,Oversold Bounce,MODERADA,55,0.89,$0.83 - $0.86,1.65,0.8,8.79,2026-03-02,17.7,-46.0,0.85,1.65,5.2,0.64,,,,,,
SMRT,"SmartRent,",Oversold Bounce,MODERADA,55,1.52,$1.32 - $1.38,1.76,1.28,1.01,2026-03-02,27.5,-28.3,1.35,1.76,12.6,0.74,,,,,,
CRM,"Salesforce,",Oversold Bounce,MODERADA,50,194.79,$225.56 - $234.76,264.61,218.65,0.0,2026-03-02,52.8,-26.8,230.16,264.61,-15.4,1.05,,,,,,
PODD,Insulet,Oversold Bounce,MODERADA,50,246.61,$299.86 - $312.1,329.22,290.68,0.0,2026-03-02,53.0,-21.9,305.98,329.22,-19.4,0.85,,,,,,
DASH,"DoorDash,",Oversold Bounce,MODERADA,50,176.47,$170.55 - $177.52,258.31,165.33,7.35,2026-03-02,46.1,-24.9,174.03,258.31,1.4,0.73,,,,,,
ROP,"Roper Technologies,",Oversold Bounce,MODERADA,50,349.73,$456.65 - $475.29,454.27,442.67,0.0,2026-03-02,42.9,-22.5,465.97,454.27,-24.9,0.62,,,,,,
WYY,WidePoint,Oversold Bounce,MODERADA,50,4.82,$5.2 - $5.42,7.34,5.04,0.0,2026-03-02,39.2,-34.7,5.31,7.34,-9.2,0.81,,,,,,
VRNS,"Varonis Systems,",Oversold Bounce,MODERADA,50,23.1,$30.5 - $31.74,47.79,29.56,0.0,2026-03-02,51.9,-35.4,31.12,47.79,-25.8,0.39,,,,,,
CNDT,CNDT,Oversold Bounce,MODERADA,50,1.46,$1.79 - $1.86,2.09,1.73,0.0,2026-03-02,47.8,-30.1,1.82,2.09,-20.0,0.84,,,,,,
MSTR,Strategy,Oversold Bounce,MODERADA,50,129.5,$158.0 - $164.45,269.06,153.16,0.0,2026-03-02,46.1,-31.5,161.22,269.06,-19.7,0.55,,,,,,
VERX,VERX,Oversold Bounce,MODERADA,50,14.48,$18.73 - $19.49,23.28,18.15,0.0,2026-03-02,43.1,-29.8,19.11,23.28,-24.2,0.51,,,,,,
BLIN,BLIN,Oversold Bounce,MODERADA,50,0.89,$0.84 - $0.87,1.12,0.81,2.96,2026-03-02,70.0,-20.5,0.86,1.12,4.1,0.45,,,,,,
IT,"Gartner,",Oversold Bounce,MODERADA,50,157.2,$221.19 - $230.22,256.38,214.42,0.0,2026-03-02,50.8,-38.3,225.71,256.38,-30.4,0.91,,,,,,
LYFT,"Lyft,",Oversold Bounce,MODERADA,50,13.84,$18.86 - $19.64,22.97,18.29,0.0,2026-03-02,31.5,-39.7,19.25,22.97,-28.1,0.74,,,,,,
TENB,"Tenable,",Oversold Bounce,MODERADA,50,19.23,$25.14 - $26.16,26.81,24.37,0.0,2026-03-02,39.9,-28.3,25.65,26.81,-25.0,0.61,,,,,,
FIS,"Fidelity National Information Services,",Oversold Bounce,MODERADA,50,50.96,$60.33 - $62.8,67.39,58.49,0.0,2026-03-02,46.2,-24.5,61.56,67.39,-17.2,1.02,,,,,,
VENU,Venu Holding,Oversold Bounce,MODERADA,50,5.15,$8.36 - $8.71,12.16,8.11,0.0,2026-03-02,37.8,-52.7,8.53,12.16,-39.7,1.19,,,,,,
EMPD,Empery Digital,Oversold Bounce,MODERADA,50,3.78,$4.07 - $4.24,7.94,3.95,0.0,2026-03-02,51.3,-25.7,4.15,7.94,-9.0,0.59,,,,,,
WS,"Worthington Steel,",Oversold Bounce,MODERADA,50,41.56,$29.22 - $30.42,36.5,28.33,-0.38,2026-03-02,25.5,-14.6,29.82,36.5,39.4,1.2,,,,,,
GLGI,"Greystone Logistics,",Oversold Bounce,MODERADA,50,0.33,$0.52 - $0.54,0.63,0.5,0.0,2026-03-02,57.1,-49.2,0.53,0.63,-37.7,0.0,,,,,,
